date,parameter,units,SiteID,org,org_id,time,value,sample_method,analytical_method,particle_size,date_time,media,sample_depth
2005-04-28,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,00:30:00,0.0201,UNKNOWN,NA,NA,2005-04-28,Water,NA
2005-04-28,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,10:00:00,0.030100000000000002,UNKNOWN,NA,NA,2005-04-28,Water,NA
2005-03-09,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,13:25:00,0.0157,UNKNOWN,NA,NA,2005-03-09,Water,NA
2005-04-02,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,09:59:00,2.45e-4,UNKNOWN,NA,NA,2005-04-02,Water,NA
2005-08-04,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,18:28:00,0.027899999999999998,UNKNOWN,NA,NA,2005-08-04,Water,NA
2005-09-30,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,12:45:00,0.023100000000000002,UNKNOWN,NA,NA,2005-09-30,Water,NA
2005-04-30,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,01:30:00,5.16e-4,UNKNOWN,NA,NA,2005-04-30,Water,NA
2005-05-03,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,10:30:00,4.1e-4,UNKNOWN,NA,NA,2005-05-03,Water,NA
2005-04-30,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,10:30:00,4.6100000000000004e-4,UNKNOWN,NA,NA,2005-04-30,Water,NA
2005-04-22,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,09:28:00,0.013300000000000001,UNKNOWN,NA,NA,2005-04-22,Water,NA
2005-04-13,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,22:00:00,0.0124,UNKNOWN,NA,NA,2005-04-13,Water,NA
2005-02-24,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,12:10:00,5.27e-4,UNKNOWN,NA,NA,2005-02-24,Water,NA
2005-05-17,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,21:30:00,0.00148,UNKNOWN,NA,NA,2005-05-17,Water,NA
2005-08-16,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,09:30:00,5.899999999999999e-4,UNKNOWN,NA,NA,2005-08-16,Water,NA
2005-04-18,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,11:50:00,0.0188,UNKNOWN,NA,NA,2005-04-18,Water,NA
2005-04-04,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,19:59:00,0.00272,UNKNOWN,NA,NA,2005-04-04,Water,NA
2005-04-18,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,09:00:00,0.0593,UNKNOWN,NA,NA,2005-04-18,Water,NA
2005-05-04,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,08:30:00,3.37e-4,UNKNOWN,NA,NA,2005-05-04,Water,NA
2005-04-25,Cadmium,ug/l,CG-4,California Gulch (US EPA Region 8),0801478,18:30:00,0.0564,UNKNOWN,NA,NA,2005-04-25,Water,NA
2005-09-15,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,11:50:00,3e-4,UNKNOWN,NA,NA,2005-09-15,Water,NA
2005-05-24,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,06:30:00,2.41e-4,UNKNOWN,NA,NA,2005-05-24,Water,NA
2005-05-18,Cadmium,ug/l,AR-1,California Gulch (US EPA Region 8),0801478,04:30:00,2.51e-4,UNKNOWN,NA,NA,2005-05-18,Water,NA
2005-05-05,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,00:30:00,0.0127,UNKNOWN,NA,NA,2005-05-05,Water,NA
2005-05-16,Cadmium,ug/l,AR-3A,California Gulch (US EPA Region 8),0801478,06:30:00,3.76e-4,UNKNOWN,NA,NA,2005-05-16,Water,NA
2005-04-30,Cadmium,ug/l,CG-6,California Gulch (US EPA Region 8),0801478,09:30:00,0.00785,UNKNOWN,NA,NA,2005-04-30,Water,NA
