2014 Jun 03 11:05:55
                     Time,      [CH4]_ppm,   [CH4]_ppm_se,      [H2O]_ppm,   [H2O]_ppm_se,      [CO2]_ppm,   [CO2]_ppm_se,  [CH4_DRY]_ppm,[CH4_DRY]_ppm_se,  [CO2_DRY]_ppm,[CO2_DRY]_ppm_se,      GasP_torr,   GasP_torr_se,         GasT_C,      GasT_C_se,         AmbT_C,      AmbT_C_se,         RD0_us,      RD0_us_se,         RD1_us,      RD1_us_se,       Fit_Flag
    06/03/14 11:06:48.623,    2.15114e+00,    0.00000e+00,    1.47004e+04,    0.00000e+00,    3.99122e+02,    0.00000e+00,    2.18323e+00,    0.00000e+00,    4.05077e+02,    0.00000e+00,    1.40370e+02,    0.00000e+00,    2.85409e+01,    0.00000e+00,    1.18587e+02,    0.00000e+00,    8.64342e+00,    0.00000e+00,    7.52065e+00,    0.00000e+00,              3
    06/03/14 11:06:49.036,    2.13350e+00,    0.00000e+00,    1.46431e+04,    0.00000e+00,    3.99141e+02,    0.00000e+00,    2.16520e+00,    0.00000e+00,    4.05073e+02,    0.00000e+00,    1.40390e+02,    0.00000e+00,    2.85331e+01,    0.00000e+00,    1.18656e+02,    0.00000e+00,    8.66012e+00,    0.00000e+00,    7.52290e+00,    0.00000e+00,              3
    06/03/14 11:06:49.449,    2.11737e+00,    0.00000e+00,    1.44629e+04,    0.00000e+00,    3.98826e+02,    0.00000e+00,    2.14844e+00,    0.00000e+00,    4.04679e+02,    0.00000e+00,    1.40393e+02,    0.00000e+00,    2.85311e+01,    0.00000e+00,    1.18698e+02,    0.00000e+00,    8.66715e+00,    0.00000e+00,    7.52080e+00,    0.00000e+00,              3
    06/03/14 11:06:49.862,    2.11614e+00,    0.00000e+00,    1.44030e+04,    0.00000e+00,    3.98131e+02,    0.00000e+00,    2.14706e+00,    0.00000e+00,    4.03949e+02,    0.00000e+00,    1.40423e+02,    0.00000e+00,    2.85356e+01,    0.00000e+00,    1.18589e+02,    0.00000e+00,    8.67691e+00,    0.00000e+00,    7.52468e+00,    0.00000e+00,              3
    06/03/14 11:06:50.275,    2.10954e+00,    0.00000e+00,    1.44274e+04,    0.00000e+00,    3.97586e+02,    0.00000e+00,    2.14042e+00,    0.00000e+00,    4.03406e+02,    0.00000e+00,    1.40433e+02,    0.00000e+00,    2.85259e+01,    0.00000e+00,    1.18718e+02,    0.00000e+00,    8.66681e+00,    0.00000e+00,    7.53008e+00,    0.00000e+00,              3
    06/03/14 11:06:50.688,    2.09812e+00,    0.00000e+00,    1.44126e+04,    0.00000e+00,    3.96986e+02,    0.00000e+00,    2.12880e+00,    0.00000e+00,    4.02791e+02,    0.00000e+00,    1.40439e+02,    0.00000e+00,    2.85405e+01,    0.00000e+00,    1.18578e+02,    0.00000e+00,    8.65760e+00,    0.00000e+00,    7.53348e+00,    0.00000e+00,              3
    06/03/14 11:06:51.101,    2.09444e+00,    0.00000e+00,    1.44778e+04,    0.00000e+00,    3.97348e+02,    0.00000e+00,    2.12521e+00,    0.00000e+00,    4.03185e+02,    0.00000e+00,    1.40466e+02,    0.00000e+00,    2.85378e+01,    0.00000e+00,    1.18597e+02,    0.00000e+00,    8.65392e+00,    0.00000e+00,    7.53292e+00,    0.00000e+00,              3
    06/03/14 11:06:51.513,    2.08895e+00,    0.00000e+00,    1.45005e+04,    0.00000e+00,    3.98272e+02,    0.00000e+00,    2.11968e+00,    0.00000e+00,    4.04132e+02,    0.00000e+00,    1.40385e+02,    0.00000e+00,    2.85298e+01,    0.00000e+00,    1.18712e+02,    0.00000e+00,    8.64875e+00,    0.00000e+00,    7.52415e+00,    0.00000e+00,              3
    06/03/14 11:06:51.926,    2.07960e+00,    0.00000e+00,    1.44457e+04,    0.00000e+00,    3.96623e+02,    0.00000e+00,    2.11008e+00,    0.00000e+00,    4.02436e+02,    0.00000e+00,    1.40376e+02,    0.00000e+00,    2.85390e+01,    0.00000e+00,    1.18626e+02,    0.00000e+00,    8.65344e+00,    0.00000e+00,    7.53264e+00,    0.00000e+00,              3
    06/03/14 11:06:52.343,    2.07357e+00,    0.00000e+00,    1.43796e+04,    0.00000e+00,    3.95932e+02,    0.00000e+00,    2.10382e+00,    0.00000e+00,    4.01708e+02,    0.00000e+00,    1.40400e+02,    0.00000e+00,    2.85294e+01,    0.00000e+00,    1.18698e+02,    0.00000e+00,    8.64918e+00,    0.00000e+00,    7.52716e+00,    0.00000e+00,              3
