hour,site,sensor,value
2019-10-07T22:00:00Z,ELC,ph,9.054362939900255
2019-10-07T22:00:00Z,ELC,salinity,571.086659584892
2019-10-07T22:00:00Z,ELC,temp,12.687582714091205
2019-10-07T22:00:00Z,ELC,turb,1.7864142937337864
2019-10-07T22:00:00Z,Legacy,depth,1.3956075143201627
2019-10-07T22:00:00Z,Legacy,depth_lead,4.488464601984212
2019-10-07T22:00:00Z,Legacy,depth_rate,-3.0928570876640493
2019-10-07T22:00:00Z,Legacy,dissolved oxygen,96.83664864040448
2019-10-07T22:00:00Z,Legacy,do_mg,8.7494417770119
2019-10-07T22:00:00Z,Legacy,orp,158.87803596010673
2019-10-07T22:00:00Z,Legacy,ph,8.306796395937832
2019-10-07T22:00:00Z,Legacy,salinity,142.89017729193026
2019-10-07T22:00:00Z,Legacy,temp,12.161816041415328
2019-10-07T22:00:00Z,Legacy,turb,0.9557224650418099
2019-10-07T22:00:00Z,Prospect,depth,1.3056960409813168
2019-10-07T22:00:00Z,Prospect,depth_lead,1.3061463020919544
2019-10-07T22:00:00Z,Prospect,depth_rate,-4.5026111063753535e-4
2019-10-07T22:00:00Z,Prospect,dissolved oxygen,73.98166119423722
2019-10-07T22:00:00Z,Prospect,do_mg,7.912447171514032
2019-10-07T22:00:00Z,Prospect,orp,306.1631424717185
2019-10-07T22:00:00Z,Prospect,ph,8.439107924019671
2019-10-07T22:00:00Z,Prospect,salinity,417.0922066214961
2019-10-07T22:00:00Z,Prospect,temp,12.59475989958925
2019-10-07T22:00:00Z,Prospect,turb,4.057747584599053
2019-10-07T22:00:00Z,Rist,depth,1.350142066498187
2019-10-07T22:00:00Z,Rist,depth_lead,1.3510009247707089
2019-10-07T22:00:00Z,Rist,depth_rate,-8.588582725219086e-4
2019-10-07T22:00:00Z,Rist,dissolved oxygen,107.08680880867335
2019-10-07T22:00:00Z,Rist,do_mg,9.051640629077102
2019-10-07T22:00:00Z,Rist,orp,365.17472920458977
2019-10-07T22:00:00Z,Rist,ph,8.36690532121195
2019-10-07T22:00:00Z,Rist,salinity,88.5118720458511
2019-10-07T22:00:00Z,Rist,temp,10.730525372005012
2019-10-07T22:00:00Z,Rist,turb,2.1213904913585237e-4
2019-10-07T22:00:00Z,Timberline,depth,1.9160985330079712
2019-10-07T22:00:00Z,Timberline,depth_lead,1.9142133853138512
2019-10-07T22:00:00Z,Timberline,depth_rate,0.06518270160448936
2019-10-07T22:00:00Z,Timberline,dissolved oxygen,80.51598977333839
2019-10-07T22:00:00Z,Timberline,do_mg,8.58877350448936
2019-10-07T22:00:00Z,Timberline,orp,253.8774099319272
2019-10-07T22:00:00Z,Timberline,ph,8.461683118985302
2019-10-07T22:00:00Z,Timberline,salinity,379.8962598306541
2019-10-07T22:00:00Z,Timberline,temp,12.687120158461424
2019-10-07T22:00:00Z,Timberline,turb,0.13010250805180607
